close notes,resolver grp,summary
"Hello all,





Web instances are working fine and CPU utilization is normal after restart .



QC passed successfully. I am resolving the incident now.



Please reopen the incident if further assistance is needed





Regards,



Athira kumar",JDE CNC Technical, NODE ALERT: VALJDELOG01 has rebooted
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion,Windows Support,Alert: CPU Utilization on G-OPTIOPD is Warning	
"Hello all,





Web instances are working fine and CPU utilization is normal after restart .



QC passed successfully. I am resolving the incident now.



Please reopen the incident if further assistance is needed





Regards,



Athira kumar",JDE CNC Technical, NODE ALERT: DEVJDEJAS2 has rebooted
Alert reset - issue detected as resolved by Orion.,Network Support,TIER 3 - Critical Device Down: MX-QUE2-891-R01.wescoaircraft.com is Down
Cleared old and the utilization is normal now.,Linux Support,ALERT: Disk utilization on tcmtm03-ws01.haasgroupintl.com is Warning
"
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion
",Windows Support,ALERT: DISK SPACE on XA6505-C:\ Label: 88E6AF70 has currently 20 % is available
Alert reset - issue detected as resolved by Orion.,Network Support,TIER 3 - Critical Device Down: US-WIT-891-CESPA-R01.wescoaircraft.com is Down
"
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion
",Windows Support,Critical ALERT:  A Distributed File System (DFS) component  on AUS-DFS01 is in a current state of: Down
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion,Windows Support,Warning Alert: Memory Utilization on GBVFSMO0 is : 94 %
"Hello all,





Web instances are working fine and CPU utilization is normal after restart .



QC passed successfully. I am resolving the incident now.



Please reopen the incident if further assistance is needed





Regards,



Athira kumar",JDE CNC Technical, NODE ALERT: GJDEWEB08 has rebooted
"Issue Identification: A Baseline Services_Windows component  on XA6542 is in a current state of: Down
Resolution: We have restarted the CrowdStrike Falcon Sensor Service now all automatic services are  up and running fine. 
SolarWinds Confirmation (Yes/No):  Yes.
",Citrix Support,Critical ALERT:  A Baseline Services_Windows component  on XA6542 is in a current state of: Down
"Hello all,





Web instances are working fine and CPU utilization is normal after restart .



QC passed successfully. I am resolving the incident now.



Please reopen the incident if further assistance is needed





Regards,



Athira kumar",JDE CNC Technical,Critical ALERT:  A JDE_Webserver_services component  on GJDEWEB08 is in a current state of: Down
"
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion
",Windows Support,Alert: CPU Utilization on aus-esx17.haasgroupintl.com is Warning	
Backlogs cleared,GEAC Application Support,Critical ALERT:  A GEAC - Print queue monitoring component  on GBDVSFM0 is in a current state of: Critical
"Node Name: SGSVSFS0
IP address: 10.104.0.116
Alert Time: Friday, June 24, 2022 1:52 AM
Severity: Normal

Current memory utilization : 47 % 

Free Memory Available : 53 % 

Total Memory : 8.0 G

Memory Used : 3.8 G

Memory Available : 4.2 G 
",Windows Support,Warning Alert: Memory Utilization on SGSVSFS0 is : 96 %
Alert reset - issue detected as resolved by Orion.,Network Support,TIER 3 - Critical Device Down: US-KEN-891-HXL-R01.wescoaircraft.com is Down
Alert reset - issue detected as resolved by Orion.,Network Support,TIER 3 - Critical Device Down: FR-TAR-TZ300-F01 is Down
"Issue Identification: ALERT: DISK SPACE on XA6503-C:\ Label: 88E6AF70 has currently 20 % is available
Resolution: Alert reset - issue detected as resolved by Orion, After the post-schedule reboot, the space is cleared. 
SolarWinds Confirmation (Yes/No):  Yes",Citrix Support,ALERT: DISK SPACE on XA6503-C:\ Label: 88E6AF70 has currently 20 % is available
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion,Windows Support,Critical Alert: Memory Utilization on AUS-BIPRD-PUB02 is : 99 %
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion,Windows Support,Alert: CPU Utilization on AUS-BIPRD-PUB02 is Critical	
"Node Name: aus-esx17.haasgroupintl.com

IP address: 10.50.17.17

Alert Time: Friday, June 24, 2022 4:43 AM

CPU Utilization: 65 %
",Windows Support,Alert: CPU Utilization on aus-esx17.haasgroupintl.com is Critical	
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion,Windows Support,Alert: CPU Utilization on AUS-BIPRD-PUB02 is Warning	
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion,Windows Support,Alert: CPU Utilization on GBVVSDV0 is Critical	
Webserver restarted and the component is UP now.,Linux Support,ALERT:  A M5 Monitoring Tomcat component  on tcmprd-haasr02.tcmis.com is Down
"Application State: Up

Node: AUS-GHS01

Node Description: Windows 2012 R2 Server

IP Address: 192.168.11.120

This issue occurred on Friday, June 24, 2022 5:15 AM CT.
",Windows Support,Critical ALERT:  A Microsoft IIS component  on AUS-GHS01 is in a current state of: Down
Issue has been resolved post server reboot,Citrix Support,ALERT: DISK SPACE on XA6505-C:\ Label: 88E6AF70 has currently 20 % is available
Webserver restarted and the component is UP now.,Linux Support,ALERT:  A M5 Monitoring Tomcat component  on tcmprd-haasr03.tcmis.com is Down
"Issue Identification: ALERT: DISK SPACE on XA6510-C:\ Label: 88E6AF70 has currently 20 % is available
Resolution: Alert reset - issue detected as resolved by Orion, After the post-schedule reboot, the space is cleared. 
SolarWinds Confirmation (Yes/No):  Yes",Citrix Support,ALERT: DISK SPACE on XA6510-C:\ Label: 88E6AF70 has currently 20 % is available
Alert reset - issue detected as resolved by Orion.,Network Support,TIER 3 - Critical Device Down: CA-QUE-BOM8-C1111-R01.wescoaircraft.com is Down
"Node Name: AUS-BIPRD-PUB02

IP address: 192.168.11.185

Alert Time: Friday, June 24, 2022 6:04 AM

CPU Utilization: 41 %
",Windows Support,Alert: CPU Utilization on AUS-BIPRD-PUB02 is Critical	
"Resolution notes copied from Parent Incident: all looks good
issue resolved",Windows Support,Alert: CPU Utilization on aus-esx17.haasgroupintl.com is Warning	
Webserver restarted and the component is UP now.,Linux Support,ALERT:  A M5 Monitoring Tomcat component  on tcmprd-haasr02.tcmis.com is Down
Alert reset - issue detected as resolved by Orion.,Network Support,TIER 3 - Critical Device Down: US-KEN-891-HXL-R01.wescoaircraft.com is Down
Alert reset - issue detected as resolved by Orion.,Network Support,TIER 3 - Critical Device Down: CN-XIA-C1111-R01.wescoaircraft.com is Down
Issue has been resolved post server reboot,Citrix Support,ALERT: DISK SPACE on XA6512-C:\ Label: 88E6AF70 has currently 19 % is available
"Issue Identification: Memory Utilization on USAZSCCMCAS01 is : 94 %
Resolution: Alert reset - issue detected as resolved by Orion, After the cleared the unused sessions it's come down. 
SolarWinds Confirmation (Yes/No):  Yes",Windows Support,Warning Alert: Memory Utilization on USAZSCCMCAS01 is : 94 %
Alert reset - issue detected as resolved by Orion.,Network Support,"GROUP ALERT: Group is Down - Network Team Tickets: Tier3 - Xi'an - APAC - Level 2 Unit B No. 5 Lantian Road, Yanliang, Xian, China"
Issue has been resolved post server reboot,Citrix Support,ALERT: DISK SPACE on XA6502-C:\ Label: 88E6AF70 has currently 20 % is available
"Issue Identification: CPU Utilization on GBV-ORIONAPP01 is Warning	
Resolution: Alert reset - issue detected as resolved by Orion, After the cleared the unused sessions it's come down. 
SolarWinds Confirmation (Yes/No):  Yes",Windows Support,Alert: CPU Utilization on GBV-ORIONAPP01 is Warning	
User confirmed as issue fixed.,GEAC Application Support,Critical ALERT:  A GEAC - Print queue monitoring component  on USAVSFM0 is in a current state of: Critical
"We restarted the service, Now it is UP and running.",Linux Support,Critical ALERT:  A TCMIS services 2.0 component  on tcmprd-sso06.haasgroupintl.com is Down
Issue has been resolved post server reboot,Citrix Support,ALERT: DISK SPACE on XA6530-C:\ Label: 88E6AF70 has currently 20 % is available
"Node Name: GBDVSMS0
IP address: 10.224.96.180
Alert Time: Friday, June 24, 2022 9:32 AM
Severity: Normal

Current memory utilization : 92 % 

Free Memory Available : 8 % 

Total Memory : 18.0 G

Memory Used : 16.6 G

Memory Available : 1.4 G 
",Windows Support,Warning Alert: Memory Utilization on GBDVSMS0 is : 95 %
Issue has been resolved post server reboot,Citrix Support,ALERT: DISK SPACE on XA6527-C:\ Label: 88E6AF70 has currently 20 % is available
Issue has been resolved post server reboot,Citrix Support,ALERT: DISK SPACE on XA6529-C:\ Label: 88E6AF70 has currently 20 % is available
Issue has been resolved post server reboot,Citrix Support,ALERT: DISK SPACE on XA6517-C:\ Label: 88E6AF70 has currently 20 % is available
"Alert reset - issue detected as resolved by Orion
Orion Alert Details",Windows Support,Alert: CPU Utilization on AUS-DEVWIKI01 is Critical	
,Windows Support,NODE ALERT: gbdvssq0 is Down
Resolution notes copied from Parent Incident: issue resolved,Windows Support,ALERT: Critical disk utilization in GBVVSPR1
Resolution notes copied from Parent Incident: issue resolved,Windows Support,ALERT: Critical disk utilization in GBVVSPR1
Now the utilization is normal. Reset email generated. ,Linux Support,Alert: Memory Utilization on tcmprd02-haasr01.tcmis.com is warning
Issue has been resolved post server reboot,Citrix Support,ALERT: DISK SPACE on XA6508-C:\ Label: 88E6AF70 has currently 19 % is available
Alert reset - issue detected as resolved by Orion.,Network Support,TIER 3 - Critical Device Down: FR-TAR-TZ300-F01 is Down
"Web instances are working fine and CPU utilization is normal after restart .
QC passed successfully. I am resolving the incident now.
Please reopen the incident if further assistance is needed.",JDE CNC Technical,Alert: CPU Utilization in GJDEWEB08 is Critical	
Alert reset - issue detected as resolved by Orion,Windows Support,Alert: CPU Utilization on G-EMERALDPRISM is Warning	
Issue has been resolved post server reboot,Citrix Support,ALERT: DISK SPACE on XA6525-C:\ Label: 88E6AF70 has currently 20 % is available
Alert reset - issue detected as resolved by Orion,Windows Support,ALERT: DISK SPACE on GBVVSPR1-E:\ Label:DATA 72D25ECB has currently 10 % is available
Issue has been resolved post server reboot,Citrix Support,ALERT: DISK SPACE on XA6523-C:\ Label: 88E6AF70 has currently 19 % is available
Alert reset - issue detected as resolved by Orion,Windows Support,Alert: CPU Utilization on G-EMERALDPRISM is Critical	
Alert reset - issue detected as resolved by Orion.,Service Desk,TIER 3 - Critical Device Down: US-SAN-891-R01.wescoaircraft.com is Down
Alert reset - issue detected as resolved by Orion,Windows Support,Alert: CPU Utilization on CODEPROXY01 is Critical	
Alert reset - issue detected as resolved by Orion,Windows Support,Critical ALERT:  A Baseline Services_Windows component  on G-TRAXPRODWEB3 is in a current state of: Down
"Alert reset - issue detected as resolved by Orion
Orion Alert Details",Windows Support,Alert: CPU Utilization on G-OPTIOPD is Warning	
"Web instances are working fine and CPU utilization is normal after restart .
QC passed successfully. I am resolving the incident now.
Please reopen the incident if further assistance is needed.",JDE CNC Technical,Alert: CPU Utilization in GJDEWEB04 is Critical	
Alert reset - issue detected as resolved by Orion,Windows Support,Critical ALERT:  A Baseline Services_Windows component  on XA6531 is in a current state of: Down
Issue has been resolved post server reboot,Citrix Support,ALERT: DISK SPACE on XA6507-C:\ Label: 88E6AF70 has currently 19 % is available
Closing the to ticket Enough space is available on Server's C drive .,Citrix Support,ALERT: DISK SPACE on XA6506-C:\ Label: 88E6AF70 has currently 8 % is available
Issue has been resolved post server reboot,Citrix Support,ALERT: DISK SPACE on XA6526-C:\ Label: 88E6AF70 has currently 20 % is available
Issue has been resolved post server reboot,Citrix Support,ALERT: DISK SPACE on XA6524-C:\ Label: 88E6AF70 has currently 19 % is available
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion,Windows Support,Alert: CPU Utilization on G-EMERALDPRISM is Critical	
Issue has been resolved post server reboot,Citrix Support,Alert: Memory Utilization on XA6520 is in Warning
"
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion
",Windows Support,Alert: CPU Utilization on G-OPTIOPD is Warning	
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion,Windows Support,Warning Alert: Memory Utilization on USAZSCCMCAS01 is : 97 %
Issue has been resolved post server reboot,Citrix Support,ALERT: DISK SPACE on XA6506-C:\ Label: 88E6AF70 has currently 20 % is available
Now the utilization is normal. Reset email generated. ,Linux Support,Alert: Memory Utilization on tcmprd-ws06.tcmis.com is warning
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion,Windows Support,Alert: CPU Utilization on AUS-FILEAUDIT01 is Critical	
"Hi, 

I'm happy to stop the monitoring on the devices at the that site.

Thanks

Steven McAinsh 
Senior Systems & Solutions Architecture Manager 
smcainsh@incora.com | +44 (0) 1332 576 226 | +44 (0) 7515975564
Incora | Ascot Business Park, 50 Longbridge Lane | Derby, DE24 8UJ | incora.com                      
 

 
 
 




From: Raajasekar Dharmaraj <Raajasekar.Dharmaraj@wescoair.com> 
Sent: 25 June 2022 04:19
To: Steven McAinsh <smcainsh@pattonair.com>
Cc: Rajendra Rajamani <Rajendra.Rajamani@wescoair.com>; Madhu Nekuri <Madhu.Nekuri@wescoair.com>; Backup & Storage Support <BackupStorageSupport@wescoair.com>
Subject: RE: NODE ALERT: ukhdnas.wescohq.com is Down

Hi Steen

The device  has down status again , I have hold the  Alert ticket now , can we stop monitor  from SolarWinds? , Please advice 


Thanks
Raajasekar D 
L3 Storage Infrastructure Operations  |  Raajasekar.Dharmaraj@wescoair.com  |  +919500051616  | 
 
 

From: Raajasekar Dharmaraj 
Sent: Friday, June 24, 2022 10:12 PM
To: Owen Grein <Owen.Grein@wescoair.com>; Raajasekar Dharmaraj <raajasekar.dharmaraj@incora.com>; Steven McAinsh <smcainsh@pattonair.com>; Owen Grein <owen.grein@incora.com>
Cc: Rajendra Rajamani <Rajendra.Rajamani@wescoair.com>; Madhu Nekuri <Madhu.Nekuri@wescoair.com>; Backup & Storage Support <BackupStorageSupport@wescoair.com>
Subject: RE: NODE ALERT: ukhdnas.wescohq.com is Down

Hi Steven/Owen

The ukhdnas is UP now 


Thanks
Raajasekar D 
L3 Storage Infrastructure Operations  |  Raajasekar.Dharmaraj@wescoair.com  |  +919500051616  | 
 
 

From: Owen Grein <Owen.Grein@wescoair.com> 
Sent: Friday, June 24, 2022 8:20 PM
To: Raajasekar Dharmaraj <raajasekar.dharmaraj@incora.com>; Steven McAinsh <smcainsh@pattonair.com>; Owen Grein <owen.grein@incora.com>
Cc: Rajendra Rajamani <Rajendra.Rajamani@wescoair.com>; Madhu Nekuri <Madhu.Nekuri@wescoair.com>; Backup & Storage Support <BackupStorageSupport@wescoair.com>
Subject: Re: NODE ALERT: ukhdnas.wescohq.com is Down

Hi, 
No idea sorry, I'm not involved in decommissioning work at Huddersfield site. 

Get Outlook for iOS
________________________________________
From: Raajasekar Dharmaraj <raajasekar.dharmaraj@incora.com>
Sent: Friday, June 24, 2022 3:48:59 PM
To: Steven McAinsh <smcainsh@pattonair.com>; Owen Grein <owen.grein@incora.com>
Cc: Rajendra Rajamani <Rajendra.Rajamani@wescoair.com>; Madhu Nekuri <Madhu.Nekuri@wescoair.com>; Backup & Storage Support <BackupStorageSupport@wescoair.com>
Subject: RE: NODE ALERT: ukhdnas.wescohq.com is Down 
 
Hi Steven /Owen
 
We have not reachable  the Huddersfield ukhdnas Device, Can you please confirm the device has power off for decommission Task ?
 
 
Thanks
Raajasekar D 
L3 Storage Infrastructure Operations  |  Raajasekar.Dharmaraj@wescoair.com  |  +919500051616  | 
 
 
 
From: Ruby Winds <ruby.winds@wescoair.com> 
Sent: Friday, June 24, 2022 3:57 AM
To: Backup & Storage Support <BackupStorageSupport@wescoair.com>
Subject: NODE ALERT: ukhdnas.wescohq.com is Down
 
Node status: Down
Node: ukhdnas.wescohq.com
Node Description: QNAP SYSTEMS, INC
IP Address: 192.168.0.244

This issue occurred on Thursday, June 23, 2022 5:26 PM CT.

Alert Name: Backup Device - DOWN -critical -Threshold-6
View full device details here: https://solarwinds.wescoair.com:443/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:4518
View full alert details here: https://solarwinds.wescoair.com:443/Orion/View.aspx?NetObject=AAT:98203
To claim ownership of this issue: CLICK TO ACKNOWLEDGE

NOTE:
If this alert is not acknowledged, additional email reminders will be sent every 7 days.
If you acknowledge this alert, you are now responsible for resolving this issue.

Ruby Winds | Monitoring 
Email: ruby.winds@wescoair.com | Web: www.wescoair.com

 
",Backup Support,NODE Down ALERT: ukhdnas.wescohq.com is Down
"Duplicate ticket created against  INC0117146 so closing the ticket . 
",Backup Support,NODE ALERT: ukhdnas.wescohq.com is Down
Now the utilization is normal. Hence we are closing this ticket,Linux Support,Alert: Memory Utilization on apexprd-ora01.haasgroupintl.com is warning
Issue has been resolved post server reboot,Citrix Support,ALERT: DISK SPACE on XA6520-C:\ Label: 88E6AF70 has currently 20 % is available
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion,Windows Support,Warning Alert: Memory Utilization on GBVVSCL3 is : 96 %
"Web instances are working fine and CPU utilization is normal after restart .
QC passed successfully. I am resolving the incident now.
Please reopen the incident if further assistance is needed.",JDE CNC Technical, NODE ALERT: ITEST2.WESCOHQ.COM is Down
"Web instances are working fine and CPU utilization is normal after restart .
QC passed successfully. I am resolving the incident now.
Please reopen the incident if further assistance is needed.",JDE CNC Technical, NODE ALERT: VALJDELOG01 has rebooted
"We restarted the application, Now it is UP and running.",Linux Support,Critical ALERT:  A TCMIS services 2.0 component  on tcmprd-ws06.tcmis.com is Down
"Web instances are working fine and CPU utilization is normal after restart .
QC passed successfully. I am resolving the incident now.
Please reopen the incident if further assistance is needed.",JDE CNC Technical, NODE ALERT: DEVJDEJAS2 has rebooted
"We restarted the application, Now it is UP and running.",Linux Support,ALERT:  A M5 Monitoring Tomcat component  on tcmprd-ws06.tcmis.com is Down
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion,Windows Support,Critical ALERT:  A Baseline Services_Windows component  on GBVVSML5 is in a current state of: Down
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion,Windows Support,Critical ALERT:  A Baseline Services_Windows component  on GBVVSRD5 is in a current state of: Down
"
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion
",Windows Support,ALERT: DISK SPACE on GBVVSML5-C:\ Label: 26AAB525 has currently 9 % is available
"
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion
",Windows Support,Alert: CPU Utilization on CAV-CMDR02 is Critical	
"
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion
",Windows Support,Critical ALERT:  A Windows Server 2019 Services and Counters component  on TXAU-MLEINPROD1 is in a current state of: Critical
"
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion
",Windows Support,Alert: CPU Utilization on G-EMERALDPRISM is Critical	
"Web instances are working fine and CPU utilization is normal after restart .
QC passed successfully. I am resolving the incident now.
Please reopen the incident if further assistance is needed.",JDE CNC Technical,Critical ALERT:  A JDE_Webserver_services component  on GJDEWEB08 is in a current state of: Critical
Now the utilization is normal. Reset email generated. ,Linux Support,Alert: Memory Utilization on tcmprd-ws01.tcmis.com is warning
"
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion
",Windows Support,Critical ALERT:  A Distributed File System (DFS) component  on AUS-DFS01 is in a current state of: Down
"
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion
",Windows Support,Critical ALERT:  A Baseline Services_Windows component  on SGSVSFS0 is in a current state of: Down
Monitor agent service on running on server,Windows Support,Critical ALERT:  A monitoringhost component  on AUS-BIPRD-PUB01 is in a current state of: Down
"
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion
",Windows Support,Critical ALERT:  A Baseline Services_Windows component  on GBVVSML1 is in a current state of: Down
"
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion
",Windows Support,Critical ALERT:  A Baseline Services_Windows component  on XA65SPEC02 is in a current state of: Down
"
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion
",Windows Support,Critical ALERT:  A Microsoft IIS component  on USAUWCSAPP01 is in a current state of: Down
"
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion
",Windows Support,Warning Alert: Memory Utilization on SGSVSFS0 is : 95 %
"Web instances are working fine and CPU utilization is normal after restart .
QC passed successfully. I am resolving the incident now.
Please reopen the incident if further assistance is needed.",JDE CNC Technical, NODE ALERT: GJDEWEB04 has rebooted
"Web instances are working fine and CPU utilization is normal after restart .
QC passed successfully. I am resolving the incident now.
Please reopen the incident if further assistance is needed.",JDE CNC Technical, NODE ALERT: GJDEWEB08 has rebooted
"Web instances are working fine and CPU utilization is normal after restart .
QC passed successfully. I am resolving the incident now.
Please reopen the incident if further assistance is needed.",JDE CNC Technical,Critical ALERT:  A JDE_Webserver_services component  on GJDEWEB08 is in a current state of: Down
"We restarted the application, Now it is UP and running.",Linux Support,Critical ALERT:  A TCMIS services 2.0 component  on tcmprd-ws01.tcmis.com is Down
"We restarted the application, Now it is UP and running.",Linux Support,ALERT:  A M5 Monitoring Tomcat component  on tcmprd-ws01.tcmis.com is Down
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion,Windows Support,Alert: CPU Utilization on G-EMERALDPRISM is Critical	
"
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion
",Windows Support,Warning Alert: Memory Utilization on SGSVSMS0 is : 95 %
Alert reset - issue detected as resolved by Orion.,Network Support,TIER 1 - CRITICAL ALERT: IL-AKK-2960X-IDF-S01.wescoaircraft.com is Down
SCCM server now migrated to London ,Windows Support, NODE ALERT: PLCVSMS0 is Down
SCCM server now migrated to London ,Windows Support, NODE ALERT: USIVSMS1 is Down
SCCM server now migrated to London ,Windows Support, NODE ALERT: PLSVSMS0 is Down
SCCM server now migrated to London ,Windows Support, NODE ALERT: USOVSMS0 is Down
SCCM server now migrated to London ,Windows Support, NODE ALERT: USMVSMS0 is Down
SCCM server now migrated to London ,Windows Support, NODE ALERT: SGSVSMS0 is Down
SCCM server now migrated to London ,Windows Support, NODE ALERT: GBDVSMS0 is Down
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion,Windows Support, NODE ALERT: ITMVSMS0 is Down
SCCM server now migrated to London ,Windows Support, NODE ALERT: USAVSMS0 is Down
SCCM server now migrated to London ,Windows Support, NODE ALERT: FRTVSMS0 is Down
SCCM server now migrated to London ,Windows Support, NODE ALERT: GBSVSMS0 is Down
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion,Windows Support, NODE ALERT: GBVVSCM1 is Down
"
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion
",Windows Support,Alert: CPU Utilization on VALDC02 is Critical	
Alert reset - issue detected as resolved by Orion.,Network Support,TIER 3 - Critical Device Down: CN-XIA-C1111-R01.wescoaircraft.com is Down
"
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion
",Windows Support,Warning Alert: Memory Utilization on GBVVSCL3 is : 95 %
"
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion
",Windows Support,Alert: CPU Utilization on KSWI-FILE01 is Critical	
"VM tools upgrade , service is up now 
Alert reset - issue detected as resolved by Orion
Orion Alert Details",Windows Support,Critical ALERT:  A Richardo Services component  on DC03PAPRC01 is in a current state of: Down
"VM tools upgrade , checked service is up now 
",Windows Support,Critical ALERT:  A Baseline Services_Windows component  on DC03PAPRC01 is in a current state of: Down
"VM tools upgrade , service is up now 
Alert reset - issue detected as resolved by Orion
Orion Alert Details",Windows Support,Critical ALERT:  A Baseline Services_Windows component  on DC03PINCA04 is in a current state of: Down
Alert reset - issue detected as resolved by Orion.,Network Support,"GROUP ALERT: Group is Down - Network Team Tickets: Tier3 - Xi'an - APAC - Level 2 Unit B No. 5 Lantian Road, Yanliang, Xian, China"
monitoringhost agent service is running on server.,Windows Support,Critical ALERT:  A monitoringhost component  on AUS-BIPRD-PUB01 is in a current state of: Down
Alert reset - issue detected as resolved by Orion.,Network Support,TIER 3 - Critical Device Down: CN-SUZ-C1111-R01.wescoaircraft.com is Down
"
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion
",Windows Support,Warning Alert: Memory Utilization on GBVFSMO0 is : 94 %
Alert reset - issue detected as resolved by Orion.,Network Support,"GROUP ALERT: Group is Down - Network Team Tickets: Tier3 - Suzhou - Suzhou, China"
CPU Usage is normal on server now,Windows Support,Alert: CPU Utilization on IESPRODFRS is Critical	
"
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion
",Windows Support,Critical ALERT:  A Microsoft IIS component  on G-MOVEITT1 is in a current state of: Down
"
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion
",Windows Support,Alert: CPU Utilization on G-OPTIOPD is Warning	
Alert reset - issue detected as resolved by Orion.,Network Support,TIER 3 - Critical Device Down: UK-RED-TZ300-F01 is Down
"
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion
",Windows Support,Alert: CPU Utilization on AUS-FILEAUDIT01 is Critical	
"
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion
",Windows Support,Alert: CPU Utilization on AUSTX-Datamatic is Critical	
"
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion
",Windows Support,Critical ALERT:  A DPMDB component  on USISRDP1 is in a current state of: Down
Now the utilization is normal. Hence we are closing this ticket,Linux Support,Alert: Memory Utilization on tcmprd-ws02.tcmis.com is warning
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion,Windows Support,Alert: CPU Utilization on G-OPTIOPD is Warning	
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion,Windows Support,Alert: CPU Utilization on G-EMERALDPRISM is Warning	
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion,Windows Support,Alert: CPU Utilization on AUS-INSPYPRD-WEC is Critical	
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion,Windows Support,Alert: CPU Utilization on IESPRODFRS is Warning	
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion,Windows Support,Warning Alert: Memory Utilization on GBVVSDS0 is : 94 %
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion,Windows Support, NODE ALERT: ALFO-DC01 is Down
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion,Windows Support,ESX ALERT: foley-esx01.haasgroupintl.com is Down
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion,Windows Support,Warning Alert: Memory Utilization on GBVFSMO0 is : 94 %
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion,Windows Support,Alert: CPU Utilization on GBVVSEX2 is Critical	
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion,Windows Support,Critical ALERT:  A DPMDB component  on USISRDP1 is in a current state of: Down
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion,Windows Support,Alert: CPU Utilization on G-SQLDEV1 is Warning	
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion,Windows Support,Alert: CPU Utilization on G-SQLDEV1 is Critical	
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion,Windows Support,Alert: CPU Utilization on G-EMERALDPRISM is Critical	
Alert reset - issue detected as resolved by Orion.,Network Support,TIER 2 - Non-Critical Device Down: US-CSP-891-R01.wescoaircraft.com is Down
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion,Windows Support,Alert: CPU Utilization on G-OPTIOPD is Warning	
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion,Windows Support,Critical ALERT:  A DPMDB component  on USISRDP1 is in a current state of: Down
"Hello all,
Web instances are working fine and CPU utilization is normal after restart .
QC passed successfully. I am resolving the incident now.
Please reopen the incident if further assistance is needed

Regards,
Ravi Varma",JDE CNC Technical, NODE ALERT: ITEST2.WESCOHQ.COM is Down
"Hello all,
Web instances are working fine and CPU utilization is normal after restart .
QC passed successfully. I am resolving the incident now.
Please reopen the incident if further assistance is needed

Regards,
Ravi Varma",JDE CNC Technical, NODE ALERT: VALJDELOG01 has rebooted
"Hello all,
Web instances are working fine and CPU utilization is normal after restart .
QC passed successfully. I am resolving the incident now.
Please reopen the incident if further assistance is needed

Regards,
Ravi Varma",JDE CNC Technical, NODE ALERT: DEVJDEJAS2 has rebooted
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion,Windows Support,Critical ALERT:  A Baseline Services_Windows component  on G-SQLDEV-MULTI is in a current state of: Down
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion,Windows Support,Critical ALERT:  A Baseline Services_Windows component  on GBVVSWW5 is in a current state of: Down
